"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
498291;2023-01-09;"segunda-feira";"18:20:00";"SC";101;384;"ICARA";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta;Aclive";"Não";4;0;1;0;2;2;1;4;-28,76851141;-49,3025538;"SPRF-SC";"DEL02-SC";"UOP02-DEL02-SC"
498295;2023-01-09;"segunda-feira";"15:00:00";"RJ";493;58;"NOVA IGUACU";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Sem Vítimas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Reta";"Não";2;0;0;0;1;1;0;2;-22,670896;-43,38074;"SPRF-RJ";"DEL01-RJ";"UOP01-DEL01-RJ"
498307;2023-01-09;"segunda-feira";"09:00:00";"MG";251;411;"GRAO MOGOL";"Velocidade Incompatível";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Reta";"Não";4;0;1;0;1;15;1;17;-16,28243518;-43,00788693;"SPRF-MG";"DEL12-MG";"UOP01-DEL12-MG"
498312;2023-01-09;"segunda-feira";"19:10:00";"SC";116;107,7;"MONTE CASTELO";"Problema com o freio";"Tombamento";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Nublado";"Simples";"Curva";"Não";2;0;1;0;0;2;1;3;-26,75473112;-50,33214569;"SPRF-SC";"DEL06-SC";"UOP02-DEL06-SC"
498319;2023-01-09;"segunda-feira";"17:10:00";"MT";163;593,7;"NOVA MUTUM";"Ausência de reação do condutor";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Ignorado";"Simples";"Curva";"Não";2;0;1;0;0;3;1;4;-13,86424707;-56,08580589;"SPRF-MT";"DEL01-MT";"UOP01-DEL01-MT"
498323;2023-01-09;"segunda-feira";"23:50:00";"RJ";116;335;"RESENDE";"Ausência de reação do condutor";"Colisão com objeto";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Chuva";"Dupla";"Ponte;Reta";"Não";2;0;1;0;0;1;1;2;-22,49610291;-44,66027211;"SPRF-RJ";"DEL07-RJ";"UOP02-DEL07-RJ"
498327;2023-01-10;"terça-feira";"02:30:00";"GO";364;228;"JATAI";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Fatais";"Plena Noite";"Crescente";"Nublado";"Simples";"Curva";"Não";3;1;0;0;1;1;0;3;-17,814425;-51,98473;"SPRF-GO";"DEL05-GO";"UOP01-DEL05-GO"
498330;2023-01-10;"terça-feira";"03:45:00";"SC";101;345,2;"TREZE DE MAIO";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";3;0;1;1;0;1;2;2;-28,54565997;-49,05345334;"SPRF-SC";"DEL02-SC";"UOP01-DEL02-SC"
498335;2023-01-10;"terça-feira";"05:00:00";"BA";242;199;"ITABERABA";"Demais falhas mecânicas ou elétricas";"Incêndio";"Sem Vítimas";"Amanhecer";"Decrescente";"Nublado";"Simples";"Reta";"Não";2;0;0;0;1;2;0;3;-12,5205;-40,0959;"SPRF-BA";"DEL06-BA";"UOP02-DEL06-BA"
498339;2023-01-09;"segunda-feira";"18:00:00";"MG";365;448,7;"PATROCINIO";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Sem Vítimas";"Anoitecer";"Decrescente";"Garoa/Chuvisco";"Simples";"Reta";"Não";2;0;0;0;1;1;0;2;-18,82806651;-46,80094611;"SPRF-MG";"DEL10-MG";"UOP01-DEL10-MG"
498343;2023-01-10;"terça-feira";"08:30:00";"RJ";116;245;"PIRAI";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Reta";"Não";3;0;1;0;1;1;1;3;-22,62040692;-43,92593694;"SPRF-RJ";"DEL07-RJ";"UOP01-DEL07-RJ"
498345;2023-01-10;"terça-feira";"07:15:00";"MG";116;496,3;"INHAPIM";"Velocidade Incompatível";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Curva;Declive";"Não";2;0;1;0;0;2;1;3;-19,52772702;-42,12719586;"SPRF-MG";"DEL06-MG";"UOP02-DEL06-MG"
498347;2023-01-10;"terça-feira";"08:45:00";"MG";262;368,1;"JUATUBA";"Animais na Pista";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Curva";"Não";2;0;1;0;1;0;1;2;-19,97239513;-44,28042402;"SPRF-MG";"DEL01-MG";"UOP03-DEL01-MG"
498348;2023-01-10;"terça-feira";"09:20:00";"BA";324;600;"SIMOES FILHO";"Manobra de mudança de faixa";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";6;0;4;0;1;1;4;3;-12,74882798;-38,43296497;"SPRF-BA";"DEL01-BA";"UOP01-DEL01-BA"
498350;2023-01-10;"terça-feira";"08:45:00";"PR";116;101,5;"SAO JOSE DOS PINHAIS";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";5;0;2;0;2;4;2;7;-25,568332;-49,178223;"SPRF-PR";"DEL01-PR";"UOP07-DEL01-PR"
